ECLI number,35,P12-1,P4-2,8,5,10,2,7,4,P1-2,6,P1-1,3,13,14
ECLI:CE:ECHR:2016:1220JUD002168211,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
ECLI:CE:ECHR:1997:0910DEC002627295,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
ECLI:CE:ECHR:1999:1214DEC004207298,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
ECLI:CE:ECHR:2014:0107DEC003369006,False,False,False,True,False,False,False,True,False,False,False,True,True,True,True
ECLI:CE:ECHR:2016:0920DEC000254514,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2016:0920DEC006308114,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2017:0404DEC006394509,False,False,False,True,False,False,False,False,False,True,True,False,True,True,True
ECLI:CE:ECHR:2016:1122DEC003332015,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2019:1001DEC001640116,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True
ECLI:CE:ECHR:2017:0912DEC007504512,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2004:0325DEC002407702,False,False,True,True,False,False,False,False,True,False,True,True,True,False,False
ECLI:CE:ECHR:2003:1118DEC004875899,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2005:0118DEC005934400,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False
ECLI:CE:ECHR:2004:0916DEC005315799,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False
ECLI:CE:ECHR:2006:1109DEC000845903,False,False,False,True,False,False,False,False,False,True,True,False,True,False,True
ECLI:CE:ECHR:2010:0325DEC000240806,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
ECLI:CE:ECHR:2011:0203JUD000657104,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
ECLI:CE:ECHR:2011:0726JUD001500304,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2010:1109DEC001989104,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
ECLI:CE:ECHR:2018:0626DEC002984313,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
ECLI:CE:ECHR:2019:0305DEC004235313,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
ECLI:CE:ECHR:1996:0228DEC002900895,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
ECLI:CE:ECHR:1996:0515DEC002831895,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
ECLI:CE:ECHR:2013:0122DEC005131410,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False
ECLI:CE:ECHR:2009:1020DEC000546907,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False
ECLI:CE:ECHR:2000:0113DEC003239696,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False
ECLI:CE:ECHR:2015:1020DEC000740706,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False
ECLI:CE:ECHR:2004:0304JUD007513901,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
ECLI:CE:ECHR:2018:0712JUD006485511,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2016:0524DEC002508505,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
ECLI:CE:ECHR:2016:0913JUD007573713,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
ECLI:CE:ECHR:2017:0314JUD006661010,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2017:0314DEC004114811,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True
ECLI:CE:ECHR:2017:0314DEC005864714,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
ECLI:CE:ECHR:2017:0328DEC007854413,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
ECLI:CE:ECHR:2017:0613DEC005993510,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2017:0718JUD003563514,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
ECLI:CE:ECHR:2017:0725JUD006982010,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2017:1003JUD000783915,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
ECLI:CE:ECHR:2012:1002JUD006903710,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
ECLI:CE:ECHR:2015:0129JUD001571113,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
ECLI:CE:ECHR:2017:1121JUD004705611,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2018:0206JUD006403116,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2018:0515JUD005438209,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2018:0904DEC005076614,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
ECLI:CE:ECHR:2018:0717JUD006124015,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
ECLI:CE:ECHR:2019:0521JUD001462009,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2020:0317JUD004419914,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
