Id,Label,generation 0,generation 1,generation 2,generation
91,CASE OF KOPYLOV v. RUSSIA,False,False,True,2
92,CASE OF BRANNIGAN AND McBRIDE v. THE UNITED KINGDOM,False,False,True,2
93,CASE OF MUSIAŁEK AND BACZYŃSKI v. POLAND,False,False,True,2
94,CASE OF COSSEY v. THE UNITED KINGDOM,False,True,False,1
95,CASE OF SANGLIER v. FRANCE,False,True,False,1
96,CASE OF FEY v. AUSTRIA,False,False,True,2
97,CASE OF BRUGGER v. AUSTRIA,False,False,True,2
98,CASE OF PREZEC v. CROATIA,False,False,True,2
99,CASE OF DEMADES v. TURKEY,False,True,False,1
100,CASE OF AKSAKAL v. TURKEY,True,False,False,0
101,CASE OF SADAYKOV v. BULGARIA,False,False,True,2
102,CASE OF KORCHUGANOVA v. RUSSIA,False,False,True,2
103,"CASE OF P., C. AND S. v. THE UNITED KINGDOM",False,True,False,1
104,CASE OF MARGARETA AND ROGER ANDERSSON v. SWEDEN,False,False,True,2
105,CASE OF SAKHNOVSKIY v. RUSSIA,False,False,True,2
106,CASE OF NATALIYA MIKHAYLENKO v. UKRAINE,False,False,True,2
107,CASE OF REYNOLDS v. THE UNITED KINGDOM,False,False,True,2
108,CASE OF TSOMTSOS AND OTHERS v. GREECE (ARTICLE 50),False,False,True,2
109,CASE OF SAGVOLDEN v. NORWAY,True,True,False,0-1
110,CASE OF OTEGI MONDRAGON v. SPAIN,False,False,True,2
111,CASE OF EUROPAPRESS HOLDING D.O.O. v. CROATIA,False,False,True,2
112,CASE OF MAHMUT KAYA v. TURKEY,False,True,False,1
113,CASE OF MORK v. GERMANY,False,False,True,2
114,CASE OF VEEBER v. ESTONIA (No. 1),False,False,True,2
115,CASE OF BEZICHERI v. ITALY,False,False,True,2
116,CASE OF MOULIN v. FRANCE,False,False,True,2
117,CASE OF BLOKHIN v. RUSSIA,False,False,True,2
118,CASE OF TÖRE v. TURKEY (No. 2),False,False,True,2
119,CASE OF KOVALEV v. RUSSIA,False,False,True,2
120,CASE OF J.B. v. SWITZERLAND,False,True,False,1
121,CASE OF HUGH JORDAN v. THE UNITED KINGDOM,False,False,True,2
122,CASE OF AYTEKİN v. TURKEY,False,False,True,2
123,CASE OF MYKHAYLENKY AND OTHERS v. UKRAINE,False,True,False,1
124,CASE OF CARDOT v. FRANCE,False,True,False,1
